 000 |    1.17 |    4.35 | موافقِ صفحه‌یِ صد و هفتاد و سه 
 001 |    4.95 |    7.02 | اوایلِ بعدازظهرِ شنبه 
 002 |    7.29 |    9.12 | ربیع به خانه می‌رسد 
 003 |    9.48 |   15.81 | در کمالِ تعجب می‌بیند که زندگی ظاهرا همانطور مثلِ سابق ادامه دارد 
 004 |   16.14 |   18.72 | هیچ کس در فرودگاه یا اتوبوس 
 005 |   18.96 |   21.00 | به او خیره نگاه نمی‌کند 
 006 |   21.33 |   23.40 | ادینبرو تغییری نکرده 
 007 |   23.88 |   27.09 | کلید در جلوییِ خانه هنوز کار می‌کند 
 008 |   27.45 |   28.02 | کرستن 
 009 |   28.23 |   32.04 | مشغولِ کمک به ویلیام در انجامِ تکالیفش است 
 010 |   32.37 |   34.50 | این زن چیره دست و عاقل 
 011 |   34.71 |   39.00 | کسی که مدرکِ درجه‌یِ یک از دانشگاه ابردین دارد 
 012 |   39.24 |   43.65 | کسی که عضوِ شعبه‌یِ اسکاتلند مؤسسه‌یِ نقشه‌یِ برداران 
 013 |   43.92 |   49.74 | دارایِ پروانه‌یِ رسمی است و روزانه با بودجه‌هایِ میلیونی سروکار دارد 
 014 |   50.01 |   52.59 | به فرمانِ پسرکی هفت و نیم ساله 
 015 |   52.83 |   54.36 | رویِ زمین نشسته 
 016 |   54.66 |   57.90 | پسرکی که نفوذ بی مانندی بر او دارد 
 017 |   58.11 |   61.41 | و در حالِ حاضر بی‌صبرانه از او می‌خواهد 
 018 |   61.62 |   66.87 | تیرِ اندازهایِ روایتِ او از نبردِ فلادن را نقاشی کند 
 019 |   67.41 |   70.05 | ربیع برایِ همه هدیه دارد 
 020 |   70.29 |   74.34 | که از آن طرف گیتِ بررسیِ گذرنامه خریده_است 
 021 |   74.67 |   79.59 | او به کرستن می‌گوید که می‌تواند امورِ بچه‌ها را انجام دهد 
 022 |   79.80 |   84.39 | شام را آماده کند و حمامِ بچه‌ها را هم به عهده بگیرد 
 023 |   84.69 |   87.93 | او می‌داند که کرستن حتما خسته است 
 024 |   88.23 |   91.83 | ضمیرِ خودآگاه‌یِ ناپاکِ محرکِ خوبی است 
 025 |   92.07 |   94.53 | برایِ کمیِ مهربان‌تر بودن 
 026 |   95.04 |   97.98 | ربیع و کرستنِ زود به بستر می‌روند 
 027 |   98.31 |  100.71 | عمرِ ایست که کرستن برایِ ربیعِ 
 028 |  100.95 |  103.05 | منبع تمامِ اخبار است 
 029 |  103.26 |  104.97 | چه ریز و چه درشت 
 030 |  105.18 |  109.86 | لذا برایِ ربیع غیرِ عادی است حاملِ اطلاعاتی باشد 
 031 |  110.07 |  111.84 | که هم بسیار مهم است 
 032 |  112.08 |  115.71 | و هم بسیار ضدِ اصولِ رایجِ افشاگری 
 033 |  116.19 |  119.43 | می‌توانست اینطور طبیعی شروع کند 
 034 |  119.67 |  122.62 | که چه قدر عجیب بوده که او و لارن 
 035 |  122.94 |  125.97 | کنارِ آسانسور به هم برخورد کردند 
 036 |  126.24 |  131.31 | از آنجایی که ربیع قرار بوده در آن زمان سرِ سخنرانی باشد 
 037 |  131.67 |  134.97 | و چه قدر در نظرشِ تأثر برانگیز بوده 
 038 |  135.21 |  137.04 | که بعد از معاشقه‌شانِ 
 039 |  137.28 |  138.66 | لارن با دو دلی 
