 000 | عاشِقْ  | ˈɑʃeq1
 001 | صَفْحِ‌یِ بیسْتْ وَ نه  | sˈafheːjˈe bist vˈa nˈa
 002 | کِرِسْتِنْ پیشْنَهادْ می‌کُنَدْ با دوْچَرْخِ  | kerˈesten pˈiʃnahˈɑd mikˈonad bɑ dotʃˈarxeː
 003 | بِ ساحِلِ پَرْتَبْلو دَرْ خَلیجِ فورَسْ بِرَوَنْدْ کِ تا آن‌جا نیمْ ساعَتی راهْ اَسْتْ رَبیعْ  | beː sˈɑhelˌe partˈabluː dˈar xalˈidʒe fˈuːras berˈavand kˈeː tɑː ɑndʒɑ nˈim sɑʔˈati rˈɑh ˈast rˈabiʔ
 004 | رویِ دوْچَرْخِ‌ای کِ بِ پیشْنَهادِ کِرِسْتِنْ  | rujˈe dotʃˈarxeːiː kˈeː beː pˈiʃnahˈɑde kerˈesten
 005 | اَزْ مَغازِ‌ای دَرْ خیابانِ پَرینَسَسْ اِجارِ کَرْدِ‌اَنْدْ راحَتْ نیسْتْ  | az maq1ˈɑzeːiː dˈar xiˈɑbɑnˌe parinˈasas edʒˈɑreː kˈardeːand rˈɑhat nˈist
 006 | کِرِسْتِنْ سَوارْ بَرْ دوْچَرْخِ‌یِ خوْدَشْ اَسْتْ  | kerˈesten savˈɑr bar dotʃˈarxeːjˈe xˌodaʃ ˈast
 007 | قِرْمِزِ آلْبالویی با دَوازْدَهْ دَنْدِ  | q1ermˈeze ˈɑlbˈɑluːˌiː bɑ dˈavɑzdˌah dˈandeː
 008 | وَ دیسْکِ تُرْمُزِ پیشْرَفْتِ  | vˈa dˈiske tormˈoze piʃrˈafteː
 009 | رَبیعْ تَمامِ تَلاشَشْ را می‌کُنَدْ تا عَقَبْ نَیُفْتَدْ  | rˈabiʔ tamˈɑme talˈɑʃaʃ rɑ mikˈonad tɑː ˈaːq1ab najˈoftad
 010 | تَپِّ را کِ تا نیمِ‌یِ پایینْ می‌رَوَنْدْ  | tappˈeː rɑ kˈeː tɑː nˈimeːjˈe pˈɑjin mirˈavand
 011 | دَنْدِ‌اَشْ را عَوَضْ می‌کُنَدْ  | dˈandeːaʃ rɑ ˈavaz mikˈonad
 012 | وَلی زَنْجیرْ گیرْ می‌کُنَدْ وَ اَزْ جایَشْ دَرْ می‌آیَدْ  | vˈali zˈandʒir ɡˈir mikˈonad vˈa az dʒˌɑjaʃ dˈar miˈɑjad
 013 | وَ آویزانْ دورِ توپی می‌چَرْخَدْ  | vˈa ˈɑvizˌɑn dˈuːre tˈuːpi mitʃˈarxad
 014 | اِحْساسِ سَرْخوْرْدِگیِ هَمْراهْ با خَشْمی آشْنا  | ehsˈɑse sarxˌordeɡˈie hamrˈɑh bɑ xˈaʃmi ˈɑʃnˈɑ
 015 | دَرونْ فَوَرانْ می‌کُنَدْ  | dˈarun favˈarɑn mikˈonad
 016 | اَگَرْ بِخواهَدْ بَرْگَرْدَدْ بِ مَغازِ  | ˌaɡˈar bexˈɑhad barɡˈardad beː maq1ˈɑzeː
 017 | پایِ پیادِ خِیْلی راهْ اَسْتْ  | pˈɑje piˈɑdeː xˈejli rˈɑh ˈast
 018 | اَمّا کِرِسْتِنْ کِ نَظَرِ دیگَری دارَدْ می‌گویَدْ  | ˈammˌɑ kerˈesten kˈeː nˈazarˌe dˈiɡarˌi dˈɑrad miɡˈujad
 019 | نِگاشْ کُنْ  | nˈeɡɑʃ kˈon
 020 | دَسْتْ وَ پا چُلُفْتی رو بِبینْ  | dˈast vˈa pˈɑ tʃolˈofti rˈu bˈebin
 021 | وَ دوْچَرْخِ را وارونِ می‌کُنَدْ  | vˈa dotʃˈarxeː rɑ vˈɑruːnˌeː mikˈonad
 022 | دَنْده‌ها را معَکّوسْ می‌کُنَدْ وَ زَنْجیرْ عَقَبْ را کِ اَزْ رِیْلَشْ خارِجْ شُدِ سَرِ جایَشْ تَنْظیمْ می‌کُنَدْ  | dˈandeːhɑ rɑ mˈakkuːs mikˈonad vˈa zˈandʒir ˈaːq1ab rɑ kˈeː az rˈejlaʃ xˈɑredʒ ʃˈodeː sˈare dʒˌɑjaʃ tˈanzim mikˈonad
 023 | دَسْت‌هایِشِ روْغَنی می‌شَوَدْ وَ وَقْتی کارَشْ تَمامْ می‌شَوَدْ رویِ گونِ‌اَشْ هَمْ روْغَنی اَسْتْ  | dˈasthˈɑjeʃˌe roq1ˈani miʃavˈad vˈa vˈaq1ti kˈɑraʃ tˈamɑm miʃavˈad rujˈe ɡˈuneːaʃ hˈam roq1ˈani ˈast
