 000 | صَفْحِ‌یِ دِویسْتْ وَ بیسْتْ وَ دُ  | sˈafheːjˈe dˈevist vˈa bist vˈa dˈo
 001 | اِدامِ‌یِ بُلوغِ  | edˈɑmeːjˈe bolˈuq1e
 002 | او زَمانی خیالْ می‌کَرْدْ  | ˈuː zamˈɑni xiˈɑl mikˈard
 003 | اَگَرْ دَرْ جایی دیگَرْ زِنْدِگی می‌کَرْدْ  | ˌaɡˈar dˈar dʒˌɑiː dˈiɡar zˈendeɡˌi mikˈard
 004 | اَگَرْ بِ چَنْدْ هَدَفِ کاری دَسْتْ می‌یافْتْ  | ˌaɡˈar beː tʃˈand hadˈafe kˈɑri dˈast mijˈɑft
 005 | یا اَگَرْ خانِوادِ داشْتْ  | jɑː ˌaɡˈar xˌɑnevˈɑdeː dˈɑʃt
 006 | نِگَرانی‌هایِشِ اَزْبینْ میرَفْتْ  | nˌeɡarˈɑnihˈɑjeʃˌe ˌazbin mˈiraft
 007 | اَمّا هیچْ چیزْ تَغییْری ایجادْ نَکَرْدِ_اَسْتْ  | ˈammˌɑ hˈitʃ tʃˈiz taq1ˈiːri iːdʒˈɑd nakˈardeː ˈast
 008 | او خُدَشْ می‌دانَدْ کِ دَرْ اَعْماقِ وُجودَشْ  | ˈuː xˌodaʃ midˈɑnad kˈeː dˈar aʔmˈɑq1e vodʒˈuːdaʃ
 009 | دَرْ بُنْیادی‌تَرینْ ساخْتارِ وُجودَشْ مُضْطَرِبْ اَسْتْ  | dˈar bonjˈɑditˈarin sˈɑxtˈɑre vodʒˈuːdaʃ moztˈareb ˈast
 010 | مُجودیِ هَراسانْ وَ ناسازْگارْ  | mˌodʒuːdˈie harˈɑsɑn vˈa nɑsˈɑzɡˈɑr
 011 | عَکْسی اَزْ کِرِسْتِنِ  | ˈaːksi az kˌerestˈene
 012 | اِسْتِرْ  | ˈester
 013 | ویلیامْ وَ خُدِ او دَرْ آشْپَزْخانِ اَسْتْ کِ دَرْ روزیِ پاییزی دَرْ پارْکْ گِرِفْتَنْدْ  | vˌiliˈɑm vˈa xˌode ˈuː dˈar ˌɑʃpazxˈɑne ˈast kˈeː dˈar ruːzˈie pˈɑjizˌi dˈar pˈɑrk ɡerˈeftand
 014 | وَ مَشْغولِ پاشیدَنِ بَرْگِ هایی کِ بادِ  | vˈa maʃq1ˈuːle pˈɑʃidˌane bˈarɡe hˈɑiː kˈeː bˈɑde
 015 | آنْها را گوشِ‌ای تَلَنْبارْ کَرْدِ  | ˌɑnhɑ rɑ ɡˈuːʃeːiː talˈanbɑr kˈardeː
 016 | بَرْ رویِ یِکْدیگَرْ  | bar rujˈe jekdˈiɡar
 017 | لِذَّتْ وَ شورْ وَ شَعَفْ دَرْ چِهْرِ‌یِ تَمامِشانْ هُوِیْداسْتْ  | lˈezzat vˈa ʃˈuːr vˈa ʃˈaʔaf dˈar tʃˈehreːjˈe tˌamɑmˈeʃɑn hovˈejdɑst
 018 | لِذَّتْ اَزْ تَواناییِ شُلوغِ کاری بِدونِ عَواقِبْ  | lˈezzat az tˌavɑnɑˈiːe ʃolˈuːq1e kˈɑri bedˈuːne avˈɑq1eb
 019 | اَمّا اینْ را هَمْ یادَشْ اَسْتْ کِ چِقَدْرْ آنْ روزْ اَزْ دَرونِ آشُفْتِ بودْ  | ˈammˌɑ iːn rɑ hˈam jˈɑdaʃ ˈast kˈeː tʃˈeq1adr ɑn rˈuːz az darˈune ɑʃˈofteː bˈuːd
 020 | مَسئَلِ‌ای کاری با یِکْ شِرْکَتِ مُهَنْدِسی دَرْ ذِهْنَشْ بودْ  | masˈaːleːiː kˈɑri bɑ jˈek ʃerkˈate mohˈandesˌi dˈar zˈehnaʃ bˈuːd
 021 | میخاسْتْ زودْ بِ خانِ بِرِسَدْ  | mˌixɑst zˈuːd beː xˈɑneː berˈesad
 022 | وَ با یِکْ مُشْتَریِ اِنْگِلیسی تَماسْ بِگیرَدْ  | vˈa bɑ jˈek mˌoʃtarˈie ˌenɡelˈisi tamˈɑs beɡˈirad
 023 | اَزْ کارْتِ اِعْتِباریَشْ  | az kˈɑrte ˌeʔtebɑrˈijaʃ
 024 | بیشْ اَزْ حَدِّ مُجازْ اِسْتِفادِ کَرْدِ_بودْ  | bˈiʃ az hˈadde mˈodʒɑz ˌestefˈɑdeː kˈardeː bˈuːd
 025 | بَرایِ رَبیعْ  | bˌarɑjˈe rˈabiʔ
 026 | تَنْها زَمانی کِ اِتِّفاقاتْ تَمامْ شَوَنْدْ  | tˈanhɑ zamˈɑni kˈeː ˌettefˈɑq1ɑt tˈamɑm ʃˈavand
 027 | فُرْصَتْ لِذَّتْ بِرَدْنِ واقِعی اَزْ آنْها بِ وُجودْ می‌آیَدْ  | fˈorsat lˈezzat berˈadne vˈɑq1eʔˈi az ˌɑnhɑ beː vˈodʒuːd miˈɑjad
 028 | او می‌دانَدْ  | ˈuː midˈɑnad
 029 | کِ هَمْسَرِ قَوی وَ تَوانایَشْ  | kˈeː hamsˈare q1ˈavi vˈa tˌavɑnˈɑjaʃ
 030 | آدَمِ مُناسِبی  | ɑdˈame mˌonɑsˈebi
 031 | بَرایِ دَرَمیانْ گَذاشْتَنِ اِخْتِلالْ اَعْصابَشْ نیسْتْ  | bˌarɑjˈe dˌaramˈiɑn ɡazˈɑʃtanˌe ˌextelˈɑl aʔsˈɑbaʃ nˈist
 032 | دُرانی بودْ کِ رَبیعْ  | doːrˈɑni bˈuːd kˈeː rˈabiʔ
 033 | اَزْ اینْ مُضوع خِیْلی ناراحَتْ می‌شُدْ  | az iːn mˈozuː xˈejli nɑrˈɑhat miʃˈod
 034 | اَگَرْ کِرِسْتِنْ اَلآنْ بیدارْ می‌شُدْ  | ˌaɡˈar kerˈesten ˈaːlˈɑn bˌidɑr miʃˈod
 035 | وَ میدیدْ چِراغِ اُتاقِ مُطالِعِ رُشَنْ اَسْتْ  | vˈa mˈidid tʃerˈɑq1e otˈɑːq1e mˌotɑlˈeʔeː rˈoʃan ˈast
 036 | تَمامِ چیزی کِ مُمْکِنْ بودْ بِگویَدْ اینْ بودْ کِ  | tamˈɑme tʃˈizi kˈeː mˈomken bˈuːd beɡˈujad iːn bˈuːd kˈeː
 037 | با بی خابی نِمیتونی دِلْبَری کُنی  | bɑ bi xˈɑbi nˌemitˌuni delbˈari kˈoni
 038 | بیا بِگیرْ بِخابْ  | biˈɑ beɡˈir bexˈɑb
 039 | رَبیعْ بَعْدْ اَزْ تَجْرُبیاتِ دَرْدَناکی کِ داشْتِ  | rˈabiʔ bˈaʔd az tˌadʒrobiˈɑte dardanˈɑki kˈeː dˈɑʃteː
 040 | مُتِوَجِّ شُدِ کِ هَمْسَرِ زیبا وَ باهوشَشْ  | mˌotevˈadʒdʒeː ʃˈodeː kˈeː hamsˈare zibˈɑ vˈa bˈɑhuːʃˌaʃ
