 000 | آمادِ‌یِ اِزْدِواجِ صَفْحِ‌یِ دِویسْتْ وَ بیسْتْ وَ نه  | ˈɑmˈɑdeːjˈe ˌezdevˈɑdʒe sˈafheːjˈe dˈevist vˈa bist vˈa nˈa
 001 | شانْزْدَهْ سالْ اَسْتْ کِ آنْها با هَمْ اِزْدِواجْ کَرْدِ‌اَنْدْ  | ʃˈɑnzdah sˈɑl ˈast kˈeː ˌɑnhɑ bɑ hˈam ezdˈevɑdʒ kˈardeːˈand
 002 | وَ با اینْ حالْ  | vˈa bɑ iːn hˈɑl
 003 | رَبیعِ تازِ اَلْبَتِّ کَمی دیرْ اِحْساسْ می‌کُنَدْ  | rˌabiʔˈe tˈɑzeː albˈatteː kˈami dˈir ˈehsɑs mikˈonad
 004 | بَرایِ اِزْدِواجْ آمادِ اَسْتْ  | bˌarɑjˈe ezdˈevɑdʒ ˈɑmˈɑdeː ˈast
 005 | آنْقَدْرْها کِ بِ نَظَرْ می‌رِسَدْ عَجیبْ نیسْتْ  | ɑnq1ˈadrhɑ kˈeː beː nˈazar mirˈesad ˈaːdʒib nˈist
 006 | با تَوَجُّهْ بِ اینْکِ اِزْدِواجِ دَرْس‌هایِ مُهِمَشْ را تَنْها بِ کَسانی اِرائِ می‌دَهَدْ کِ بَرایِ آموزِشْ ثَبْت‌نامْ کَرْدِ‌اَنْدْ  | bɑ tˈavadʒdʒˌoh beː ˈinkeː ˌezdevˈɑdʒe dˈarshɑjˈe mˈohemˌaʃ rɑ tˈanhɑ beː kasˈɑni erˈɑeː midˈahad kˈeː bˌarɑjˈe ɑmˈuzeʃ sˈabtnˈɑm kˈardeːˈand
 007 | طَبیعیسْتْ کِ آمادِگی بِ جایِ اینْکِ قَبْلْ اَزْ مَراسِمْ بِ وُجودْ بیایَدْ  | tˌabiʔˈist kˈeː ˈɑmˈɑdeɡˌi beː dʒˌɑje ˈinkeː q1ˈabl az marˈɑsem beː vˈodʒuːd bijˈɑjad
 008 | بَعْدْ اَزْ آنْ بِ وُجودْ می‌آیَدْ  | bˈaʔd az ɑn beː vˈodʒuːd miˈɑjad
 009 | شایَدْ یِکْ یا دوْ دَهِ‌یِ بَعْدْ  | ʃˈɑjad jˈek jɑː dˈo dˈaheːjˈe bˈaʔd
 010 | رَبیعْ قَبولْ دارَدْ کِ اینْ تَنْها یِکْ بازی زَبانیسْتْ کِ بِ او اِجازِ می‌دَهَدْ مُدَّعی باشَدْ  | rˈabiʔ q1ˈabul dˈɑrad kˈeː iːn tˈanhɑ jˈek bˈɑzi zabˈɑnist kˈeː beː ˈuː edʒˈɑzeː midˈahad moddˈaʔi bˈɑʃad
 011 | فَقَطْ یِکْ بارْ اِزْدِواجْ کَرْدِ_اَسْتْ  | fˈaq1at jˈek bˈɑr ezdˈevɑdʒ kˈardeː ˈast
 012 | آنْچِ بِ راحَتی رابِطِ‌ای واحِدْ بِ نَظَرْ می‌رِسیدِ  | ˌɑntʃe beː rɑhˈati rˈɑbetˌeːiː vˈɑhed beː nˈazar mirˈesidˌeː
 013 | دَرْ حَقیقَتْ هَمْراهْ بودِ با بِسْیاری تَحَوُّلاتِ  | dˈar haq1ˈiq1at hamrˈɑh bˈuːdeː bɑ besjˈɑri tˌahavvolˈɑte
 014 | جُدایی‌ها  | dʒodˈɑiːhˈɑ
 015 | گَفَتْگوهایِ مُجَدّدِ فاصِله‌هایِ گاه‌بِ‌گاهْ  | ɡˌafatɡuːhˈɑje mˌodʒaddˈade fˈɑselˌeːhɑjˈe ɡˈɑhbeːɡˈɑh
 016 | وَ بازْگَشْت‌هایِ پُرْ اِحْساسْ بِ خانِ  | vˈa bˈɑzɡaʃthɑjˈe pˈor ˈehsɑs beː xˈɑneː
 017 | کِ بِ موْجِبِ اینْها رَبیعْ دَرْ واقِعْ حَدِّاَقَلْ دَه‌ها بارْ طَلاقْ وَ اِزْدِواجِ مُجَدّدْ را تَجْرُبِ کَرْدِ  | kˈeː beː modʒˈebe ˌiːnhɑ rˈabiʔ dˈar vˈɑq1eʔ hˌaddeˈaq1al dˈahhɑ bˈɑr talˈɑq1 vˈa ˌezdevˈɑdʒe mˌodʒaddˈad rɑ tadʒrˈobe kˈardeː
 018 | آنْ هَمْ فَقَطْ با هَمانْ یِکْ نَفَرْ  | ɑn hˈam fˈaq1at bɑ hamˈɑn jˈek nˈafar
 019 | او بَرایِ مُلاقاتْ با مُشْتَری  | ˈuː bˌarɑjˈe molˈɑq1ɑt bɑ moʃtˈari
 020 | دَرْ حالِ رانَنْدِگی دَرْ مَسیری طولانی بِ مَنْچِسْتِرْ اَسْتْ  | dˈar hˈɑle rˈɑnandˌeɡi dˈar masˈiri tuːlˈɑni beː mantʃˈester ˈast
 021 | اینْ بِهْتَرینْ فُرْصَتْ بَرایِ تَفَکُّرْ اَسْتْ  | iːn behtˈarin fˈorsat bˌarɑjˈe tafˈakkor ˈast
 022 | صُبْحِ خِیْلی زودْ دَرْ ماشینْ  | sˈobhe xˈejli zˈuːd dˈar mˈɑʃin
