 000 | رُمانْتیسْمِ صَفْحِ‌یِ یازْدَهْ  | rˌomɑntˈisme sˈafheːjˈe jˈɑzdah
 001 | شِیْدایی‌ها  | ʃejdˈɑiːhˈɑ
 002 | صَفْحِ‌یِ سیزْدَهْ  | sˈafheːjˈe sˈizdah
 003 | هُتِلْ نیمْ ساعَتْ  | hˈotel nˈim sˈɑʔat
 004 | تا شَرْقِ بَنْدَرِ مالاگا فاصِلِ دارَدْ  | tɑː ʃˈarq1e bandˈare mˈɑlˈɑɡˈɑ fˈɑselˌeː dˈɑrad
 005 | وَ رویِ یِکْ بَرآمَدِگیِ سَنْگی قَرارْ گِرِفْتِ_اَسْتْ  | vˈa rujˈe jˈek barˌɑmadeɡˈie sˈanɡi q1arˈɑr ɡerˈefteː ˈast
 006 | اینْ هُتِلِ مَخْصوصِ خانِوادِ هاسْتْ وَ دَرْ آنْجا  | iːn hotˈele maxsˈuse xˌɑnevˈɑdeː hˈɑst vˈa dˈar ˈɑndʒˈɑ
 007 | بِ خُصوصْ دَرْ وَعْدِ‌هایِ غَذا  | beː xˈosuːs dˈar vˈaʔdeːhɑjˈe q1azˈɑ
 008 | مُشْکِلاتِ زِنْدِگیِ خانِوادِگیِ خُدْ بِ خُدْ آشْکارْ می‌شَوَدْ  | mˈoʃkelˌɑte zˈendeɡˌie xˌɑnevˌɑdeɡˈie xod beː xod ˈɑʃkɑr miʃavˈad
 009 | رَبیعْ خانِ پانْزْدَهْ سالِ اَسْتْ  | rˈabiʔ xˈɑne pˈɑnzdah sˈɑleː ˈast
 010 | وَ با پِدَرْ وَ نامادَری‌اَشْ دَرْ تَعْطیلاتْ بِ سَرْ می‌بَرَدْ  | vˈa bɑ pˈedar vˈa nɑmˈɑdarˌiaʃ dˈar taʔtˈilɑt beː sˈar mibˈarad
 011 | جَوْ سَنْگینْ اَسْتْ  | dʒˈav sˈanɡin ˈast
 012 | وَ حَرْفِ چَنْدانی میانِشانْ رَدْ وَ بَدَلْ نِمی‌شَوَدْ  | vˈa hˈarfe tʃandˈɑni mˌiɑnˈeʃɑn rˈad vˈa bˈadal nˌemiʃavˈad
 013 | سِ سالْ اَسْتْ کِ مادَرْ رَبیعْ فوتْ کَرْدِ  | sˈeː sˈɑl ˈast kˈeː mˈɑdar rˈabiʔ fˈuːt kˈardeː
 014 | دَرْ اِیْوانِ هُتِلْ  | dˈar ejvˈɑne hˈotel
 015 | رو بِ اِسْتَخْرِ هَرْ روزْ بوفِ‌ای بَرْپاسْتْ نامادَری‌  | rˈu beː estˈaxre har rˈuːz bˈuːfeːiː bˈarpɑst nɑmˈɑdarˌi
 016 | اَشْ هَرْ اَزْ چَنْدْ گاهْ  | aʃ har az tʃˈand ɡˈɑh
 017 | راجِعْ بِ پایا یا دَرْبارِ‌یِ بادِ شَدیدی کِ اَزْ سَمْتِ جُنوبْ میوَزَدْ  | rˈɑdʒeʔ beː pˈɑjˈɑ jɑː darbˈɑreːjˈe bˈɑde ʃadˈidi kˈeː az sˈamte dʒˈonuːb mivˈazad
 018 | اِظْهارِ نَظَرْ می‌کُنَدْ  | ezhˈɑre nˈazar mikˈonad
 019 | تُضیحِ پاوَرَقیِ  | tozˈihe pˌɑvaraq1ˈie
 020 | پایا نُعی غَذایِ اِسْپانیایی  | pˈɑjˈɑ nˈoʔi q1azˈɑje ˌespɑnijˈɑiː
 021 | تُضیحاتِ مُنْدَرَجْ دَرْ تَمامِ پانِویس‌ها  | tˌozihˈɑte mondˈaradʒ dˈar tamˈɑme pˈɑnevˌishˈɑ
 022 | اَزْ سویِ مُتَرْجِمْ اَسْتْ  | az sˈuːje motˈardʒem ˈast
 023 | اِدامِ‌یِ مَتْنِ  | edˈɑmeːjˈe mˈatne
 024 | اِصالَتَنْ اَهْلِ کَلاسَتْرَشْرْ اَسْتْ وَ بِ باغْبانی عَلاقِ دارَدْ  | ˌesɑlˈatan ˈaːhle kalˈɑsatrˌaʃr ˈast vˈa beː bˈɑq1bɑnˌi aːlˈɑq1eː dˈɑrad
 025 | اِزْدِواجْ با خاسْتْگاری یا حَتّا دیدارِ اَوَّلیِ شُروعْ نِمی‌شَوَدْ  | ezdˈevɑdʒ bɑ xɑstɡˈɑri jɑː hˌattˈɑ didˈɑre ˈavvalˌije ʃˈoruːʔ nˌemiʃavˈad
 026 | آغازِ آنْ بَرْ می‌گَرْدَدْ بِ خِیْلی قَبْل‌تَرْ  | ˈɑq1ˈɑze ɑn bar miɡˈardad beː xˈejli q1ˈabltˈar
 027 | یَعْنی زَمانِ رویِشِ اَنْدیشِیِ عِشْقْ دَرْ ذِهْنْ  | jˈaʔni zamˈɑne rujˈeʃe ˌandiʃeːˈie ˈeːʃq1 dˈar zˈehn
 028 | وَ اَگَرْ دَقیق‌تَرْ بِخاهیمْ بِگوییمْ  | vˈa ˌaɡˈar dˈaq1iq1tar bexˈɑhim beɡˈuiːm
 029 | زَمانِ شِکْلِ گیری رُیایِ داشْتَنِ مَعْشوقْ  | zamˈɑne ʃˈekle ɡˈiri rojˈɑje dˈɑʃtanˌe mˈaʔʃuq1
 030 | رَبیعْ  | rˈabiʔ
 031 | اَوَّلینْ بارْ دُخْتَرْ را کِنارِ سُرْسُرِ آبْ میبینَدْ  | avvˈalin bˈɑr dˈoxtar rɑ kenˈɑːre sorsˈoreː ˈɑb mibˈinad
 032 | تَقْریبَنْ یِکْسالْ اَزْ خُدَشْ کوچَکْتَرْ اَسْتْ  | taq1rˈiban jeksˈɑl az xˌodaʃ kuːtʃˈaktar ˈast
 033 | موهایِ خُرْمایی‌اَشْ را پِسَرانِ کوتاهْ کَرْدِ  | muːhˈɑje xormˈɑiːaʃ rɑ pˌesarˈɑne kuːtˈɑh kˈardeː
 034 | پوسْتَشْ زِیْتونیسْتْ وَ پاهایَشْ باریکْ وَ قَلَمی  | pˈuːstaʃ zejtˈunist vˈa pˈɑhɑjˌaʃ bˈɑrik vˈa q1alˈami
 035 | بُلوزِ مَلَوانی راه‌یِ راهْ پوشیدِ  | bolˈuze mˌalavˈɑni rˈɑhjˈe rˈɑh puːʃˈideː
 036 | وَ شَلْوارَکِ آبی وَ یِکْ جُفْتْ دَمْپایی لاانْگَشْتیِ زَرْدِ لیمویی  | vˈa ʃˌalvɑrˈake ˈɑbi vˈa jˈek dʒˈoft dampˈɑiː lˈɑˈɑnɡaʃtˌie zˈarde limˈuːiː
 037 | بَنْدِ چَرْمیِ باریکی هَمْ  | bˈande tʃarmˈie bˈɑrikˌi hˈam
 038 | دورِ مُچِ راسْتَشْ بَسْتِ  | dˈuːre mˈotʃe rˈɑstaʃ bˈasteː
 039 | دُخْتَرَکْ نِگاهی بِ او می‌اَنْدازَدْ  | doxtˈarak neɡˈɑhi beː ˈuː miandˈɑzad
 040 | لَبْخَنْدِ نِصْفِ نیمِ‌ای حَوالی‌اَشْ می‌کُنَدْ  | labxˈande nˈesfeː nˈimeːiː havˈɑliaʃ mikˈonad
 041 | وَ خُدَشْ را رویِ صَنْدَلیِ حَصیریِ تاشُ جابِجا می‌کُنَدْ  | vˈa xˌodaʃ rɑ rujˈe sˌandalˈie hˌasirˈie tˌɑːʃo dʒɑbˈedʒɑ mikˈonad
 042 | دَرْ چَنْدْ ساعَتِ آیَنْدِ  | dˈar tʃˈand sɑʔˈate ɑjˈandeː
 043 | بِ واکْمَنِشْ گوشْ می‌دَهَدْ  | beː vˈɑkmanˌeʃ ɡˈuːʃ midˈahad
 044 | وَ مُتِفَکِّرانِ بِ دَریا می‌نَگَرْدْ  | vˈa mˌotefˌakkerˈɑneː beː dˌariˈɑ minˈaɡard
 045 | وَ چَنْدْ وَقْتْ یِکْبارْ ناخُنِ هایَشْ را می‌جودْ  | vˈa tʃˈand vˈaq1t jekbˈɑr nɑxˈone hˌɑjaʃ rɑ midʒˈuːd
 046 | پِدَرْ وَ مادَرَشْ دَرْ دُ طَرَفْ او هَسْتَنْدْ  | pˈedar vˈa mɑdˈaraʃ dˈar dˈo tˈaraf ˈuː hˈastand
 047 | مادَرِ مَجَلِّ‌ای را وَرَقْ می‌زَنَدْ وَ پِدَرِ رُمانی اَزْ لَنْدَنْ بِ فَرانْسَوی می‌خانْدْ  | mɑdˈare madʒˈalleːiː rɑ vˈaraq1 mizˈanad vˈa pedˈare romˈɑni az lˈandan beː fˌarɑnsˈavi mixˈɑnd
 048 | تُضیحِ پاوَرَقیِ لَنْ  | tozˈihe pˌɑvaraq1ˈie lˈan
 049 | دِیْتونْ نِویسَنْدِ‌یِ بِریتانیایی رُمان‌هایِ جاسوسی  | dˈejtun nˌevisˈandejˈe bˌeritˌɑniˈɑiː rˈomɑnhɑjˈe dʒˈɑsuːsˌi
 050 | هِزارْ وَ نُهْصَدْ وَ بیسْتْ وَ نه  | hˈezɑr vˈa nˈohsad vˈa bist vˈa nˈa
 051 | اِدامِ‌یِ  | edˈɑmeːjˈe
 052 | مَطْلَبِ رَبیعْ بَعْدَنْ اَزْ رویِ دَفْتَرِ ثَبْتِ اَسامیِ مِهْمانانْ  | mˈatlabˌe rˈabiʔ bˌaʔdan az rujˈe daftˈare sˈabte ˈaːsˈɑmiˌe mehmˈɑnɑn
 053 | مُتِوَجِّ می‌شَوَدْ کِ دُخْتَرَکِ  | mˌotevˈadʒdʒeː miʃavˈad kˈeː dˌoxtarˈake
 054 | اَهْلِ کُلُرِمونْ فَرانْ  | ˈaːhle kˌolorˈemun farˈɑn
 055 | وَ نامی آلیسْ سارْ اَسْتْ  | vˈa nˈɑmi ˈɑlis sˈɑr ˈast
 056 | رَبیعْ هیچْ وَقْتْ دَرْ گُذَشْتِ  | rˈabiʔ hˈitʃ vˈaq1t dˈar ɡozˈaʃteː
 057 | چِنینْ حِسی را تَجْرُبِ نَکَرْدِ  | tʃˈenin hˈesi rɑ tadʒrˈobe nakˈardeː
 058 | حِسی کِ اَزْ وَقْتی دُخْتَرَکْ را دیدِ  | hˈesi kˈeː az vˈaq1ti doxtˈarak rɑ dˈideː
 059 | او را مَغْلوبْ کَرْدِ_اَسْتْ  | ˈuː rɑ mˈaq1luːb kˈardeː ˈast
 060 | حِسی کِ بِ کَلامْ نِمی‌آیَدْ  | hˈesi kˈeː beː kalˈɑm nˌemiˈɑjad
 061 | چُنْ واژِ‌ها قادِرْ بِ بَیانَشْ نیسْتَنْدْ  | tʃˈon vˈɑʒeːhɑ q1ˈɑder beː bajˈɑnaʃ nˈistand
 062 | اِنْگارْ هَمیشِ اینْ دُخْتَرْ را می‌شِناخْتِ  | ˈenɡɑr hamˈiʃeː iːn dˈoxtar rɑ miʃenˈɑxteː
 063 | اِنْگارْ دُخْتَرَکْ  | ˈenɡɑr doxtˈarak
 064 | دَلیلِ وُجودِ او دَرْ اینْ دُنْیا اَسْتْ  | dalˈile vodʒˈuːde ˈuː dˈar iːn dˈonjɑ ˈast
 065 | وَ بِ خُصوصِ دَوایِ دَرْدِ مُبْهَمی اَسْتْ کِ دَرونَشْ حِسْ می‌کُنَدْ  | vˈa beː xosˈuːse davˈɑje dˈarde mobhˈami ˈast kˈeː darˈunaʃ hˈes mikˈonad
 066 | طِیِّ چَنْدْ روزِ آیَنْدِ  | tejjˈe tʃˈand rˈuːze ɑjˈandeː
 067 | رَبیعْ دَرْ گوشِ وَ کِنارِ هُتِلِ  | rˈabiʔ dˈar ɡˈuːʃeː vˈa kenˈɑːre hotˈele
 068 | او را اَزْ دورْ می‌پایِدْ  | ˈuː rɑ az dˈuːr mipˈɑjed
 069 | وَقْتی سَرِ صُبْحانِ با پیراهَنیِ سِفیدْ مُزَیَّنْ بِ حاشیِ‌یِ گُلْدارْ  | vˈaq1ti sˈare sobhˈɑneː bɑ pirˈɑhanˌie sˈefid mozˈajjan beː hˈɑʃijˌejˈe ɡˈoldɑr
 070 | اَزْ بوفِ‌یِ ماسْتْ وَ هُلو بَرْمیدارَدْ  | az bˈuːfeːjˈe mɑst vˈa hˈolu barmidˈɑrad
 071 | وَقْتی دَرْ زَمینِ تِنیسْ با لَهْجِ‌یِ غَلیظِ اِنْگِلیسی وَ با اَدَبِ فَراوانْ  | vˈaq1ti dˈar zamˈine tˈenis bɑ lˈahdʒeːjˈe q1alˈize ˌenɡelˈisi vˈa bɑ adˈabe farˈɑvɑn
 072 | بِخاطِرِ ضَرْبِ‌ای کِ با پُشْتِ راکِتْ زَدِ  | bexˈɑterˌe zˈarbeːiː kˈeː bɑ pˈoʃte rˈɑket zˈadeː
 073 | اَزْ مُرَبّی عُذْرْخاهی می‌کُنَدْ  | az morˈabbi oːzrxˈɑhi mikˈonad
