 000 | صَفْحِ‌یِ یِ صَدْ وَ هَشْتادْ وَ چاهارْ  | sˈafheːjˈe jˈeː sˈad vˈa hˈaʃtɑd vˈa tʃˈɑhɑr
 001 | اِدامِ‌یِ مُخالِفْ  | edˈɑmeːjˈe moxˈɑlef
 002 | بُنِ مَگْوایْرْ .  | bˈone maɡvˈɑjr
 003 | اینْ اِسْمِ زَنْگی را بِ صِدا دَرْ می‌آوَرْدْ .  | iːn ˈesme zˈanɡi rɑ beː sedˈɑ dˈar miˈɑvard
 004 | کِرِسْتِنْ قَبْلَاْ هَمْ اِسْمِ او را بِ زَبانْ آوَرْدِ .  | kerˈesten q1ˈablan hˈam ˈesme ˈuː rɑ beː zabˈɑn ɑvˈardeː
 005 | او یِکْبارْ بعَداَزْظُهْرْ بِ دانَدی رَفْتْ کِیْ بودْ ؟  | ˈuː jekbˈɑr badˈazzohr beː dɑnˈadi rˈaft kˈej bˈuːd
 006 | گُفْتِ_بودْ چیزی مِثْلِ گَرْدِ هُمایی شوْرا بودْ .  | ɡˈofteː bˈuːd tʃˈizi mˈesle ɡˈarde homˈɑiː ʃˈoːrɑ bˈuːd
 007 | اینْ مَگْوایْرْ چِطوْرْ جُراَتْ کَرْدِ  | iːn maɡvˈɑjr tʃˈetor dʒorʔˈat kˈardeː
 008 | هَمْسَرِ او را بِ ناهارْ دَعْوَتْ کُنَدْ ؟  | hamsˈare ˈuː rɑ beː nɑhˈɑr daʔvˈat kˈonad
 009 | کُلَّاْ عَقْلَشْ را اَزْ دَسْتْ دادِ ؟  | kˈollan ˈaːq1laʃ rɑ az dˈast dˈɑdeː
 010 | وَ حَتّی بِدونِ اینْکِ اَزْ رَبیعْ اِجازِ بِگیرَدْ  | vˈa hˌattˈɑ bedˈuːne ˈinkeː az rˈabiʔ edʒˈɑzeː beɡˈirad
 011 | کِ مُسَلَّمَاْ  | kˈeː mˌosallˈaman
 012 | او هَرْگِزْ چِنینْ اِجازِ‌یِ نِمی‌دادْ .  | ˈuː hˈarɡez tʃˈenin edʒˈɑzeːjˈeː nˌemidˈɑd
 013 | رَبیعْ ناگَهانْ بازْجویی را شُروعْ می‌کُنَدْ :  | rˈabiʔ nɑɡˈahɑn bˈɑzdʒuˌiː rɑ ʃˈoruːʔ mikˈonad
 014 | کِرِسْتِنْ  | kerˈesten
 015 | توْ با بُنِ مَگْوایْرْ کاری کَرْدی ؟  | tˈo bɑ bˈone maɡvˈɑjr kˈɑri kˈardi
 016 | یا اَزْ اونْ طَرَفْ  | jɑː az ˈuːn tˈaraf
 017 | اونْ تاحالا اِشارِ کَرْدِ کِ دوسْتْ دارِ یِ جورایی کاری کُنِ ؟  | ˈuːn tˈɑhˈɑlˈɑ eʃˈɑreː kˈardeː kˈeː dˈuːst dˈɑreː jˈeː dʒuːrˈɑiː kˈɑri kˈoneː
 018 | یا بِهْتَرْ بِگَمْ  | jɑː bˈehtar bˈeɡam
 019 | با توْ کاری کُنِ ؟  | bɑ tˈo kˈɑri kˈoneː
 020 | با مَنْ با اینْ لَحْنِ رَسْمی وَ بی طَرَفْ وَ وَکیلِ گونِ حَرْفْ نَزَنْ رَبیعْ .  | bɑ man bɑ iːn lˈahne rˈasmi vˈa bi tˈaraf vˈa vakˈile ɡˈuneː hˈarf nˈazan rˈabiʔ
 021 | بِ نَظَرَتْ اَگِ چیزی بَرایِ پِنْهانْ کَرْدَنْ داشْتَمْ اینْطوْری باهاتْ حَرْفْ می‌زَدَمْ ؟  | beː nˈazarˌat ˈaːɡeː tʃˈizi bˌarɑjˈe pˈenhɑn kˈardan dˈɑʃtam intˈoːri bˈɑhɑt hˈarf mizˈadam
 022 | مَنْ اَزْ اونْ آدَمایِ خوْدْشیفْتِ نیسْتَمْ کِ فَقَطْ بِ اینْ خاطِرْ کِ بِ نَظَرِ یِکی جَذّابْ اومَدَمْ سَریعْ خوْدَمْ را گُمْ کُنَمْ  | man az ˈuːn ˌɑdamˈɑje xodʃˈifteː nˈistam kˈeː fˈaq1at beː iːn xˈɑter kˈeː beː nˈazarˌe jˈeki dʒˈazzɑb umˈadam sˈariʔ xˌodam rɑ ɡˈom kˈonam
 023 | وَلی اَگَرْ هَمْ کَسی واقِعَاْ فِکْرْ کُنِ  | vˈali ˌaɡˈar hˈam kˈasi vɑq1ˈeʔan fˈekr kˈoneː
 024 | مَنْ تا حَدّی مَعْرِکِ‌یِ اَمْ  | man tɑː hˈaddi maʔrˈekeːjˈe ˈam
 025 | وَ اَگِ مُتِوَجِّ بِشِ کِ موها مو کوتاهْ کَرْدَمْ  | vˈa ˈaːɡeː mˌotevˈadʒdʒeː bˈeʃe kˈeː mˈuːhɑ mˈuː kuːtˈɑh kˈardam
 026 | یا اَزْ لِباسی کِ پوشیدَمْ تَعْریفْ کُنِ  | jɑː az lˈebɑsˌi kˈeː puːʃˈidam tˈaʔrif kˈoneː
 027 | بِ نَظَرَمْ کارِ بَدی نَکَرْدِ .  | beː nˈazarˌam kˈɑre bˈadi nakˈardeː
 028 | تَعَجُّبِ آوَرِ  | tˌaʔadʒdʒˈobe ˈɑvarˌeː
 029 | وَلی مَنْ دِیْگَهْ باکِرِ نیسْتَمْ  | vˈali man dˈejɡah bˈɑkerˌeː nˈistam
 030 | اینْ روزْها کَمْتَرْ زَنی هَمْ سِنْ وَ سالِ مَنْ پِیْدا می‌کُنی کِ باکِرِ باشِ  | iːn rˈuːzhɑ kˈamtar zˈani hˈam sˈen vˈa sˈɑle man pˈejdɑ mikˈoni kˈeː bˈɑkerˌeː bˈɑʃeː
 031 | حَتّی شایَدْ وَقْتَشْ رِسیدِ باشِ  | hˌattˈɑ ʃˈɑjad vˈaq1taʃ rˈesidˌeː bˈɑʃeː
 032 | اینْ حَقیقَتْ را بِپَذیری کِ مادَرَتْ هَمْ اونْ زَنِ مُقَدَّسی کِ توْ تَصَوُّراتَتْ داری نَبودِ  | iːn haq1ˈiq1at rɑ bepazˈiri kˈeː mɑdˈarat hˈam ˈuːn zˈane mˌoq1addˈasi kˈeː tˈo tˌasavvorˈɑtat dˈɑri nˈabuːdˌeː
 033 | بِ نَظَرَتْ  | beː nˈazarˌat
 034 | توْ سَفَرْهایی کِ دورِ دُنْیا داشْتِ شَباشْ را چِطوْرْ می‌گُذَرْوَنْدِ ؟  | tˈo sˌafarhˈɑiː kˈeː dˈuːre dˈonjɑ dˈɑʃteː ʃabˈɑʃ rɑ tʃˈetor miɡozarvˈandeː
 035 | توْ اُتاقِ هُتِلْ نِشَسْتِ وَ اِنْجیلْ می‌خونْدِ ؟  | tˈo otˈɑːq1e hˈotel neʃˈasteː vˈa ˈendʒil mixˈuːndeː
 036 | دَرْ هَرْحالِ اُمیدْوارَمْ  | dˈar harhˈɑle ʔˌomidvˈɑram
 037 | اُقاتْ فوْقَ‌العادْهایِ را گُذَرانْدِ باشِ  | ˈoːq1ɑt fˈoːq1alˈɑdhˈɑje rɑ ɡˌozarˈɑndeː bˈɑʃeː
 038 | وَ خاطْرَخْواهاشْ اَزْ تَه‌یِ دِلْ عاشِقَشْ بودِ باشَنْ  | vˈa xˈɑtraxvˈɑhɑʃ az tˈahjˈe dˈel ˈɑʃeq1ˌaʃ bˈuːdeː bˈɑʃan
 039 | وَ خوْشْحالَمْ کِ اونْ قَدْری نِجابَتْ داشْتِ  | vˈa xoʃhˈɑlam kˈeː ˈuːn q1ˈadri nedʒˈɑbat dˈɑʃteː
