 000 | اِنْتِقالِ عَواطِفِ  | ˌenteq1ˈɑle ˌavɑtˈefe
 001 | صَفْحِ‌یِ هَشْتادْ وَ هَفْتْ  | sˈafheːjˈe hˈaʃtɑd vˈa hˈaft
 002 | بَعْدْ اَزْ گُذَشْتِ دُ سالْ اَزْ اِزْدِواجِشانْ رَبیعْ  | bˈaʔd az ɡozˈaʃte dˈo sˈɑl az ˌezdevɑdʒˈeʃɑn rˈabiʔ
 003 | کَماکانْ ثُباتِ شُغْلی نَدارَدْ  | kamˈɑkɑn sobˈɑte ʃˈoq1li nˈadɑrˌad
 004 | وَ دَرْ مَعْرَضِ خَطَرِ گَرْدِشِ کارْ  | vˈa dˈar maʔrˈaze xatˈare ɡardˈeʃe kˈɑr
 005 | وَ تَغییْرِ عَقیدِ‌یِ ناگَهانیِ مُشْتَری قَرارْ دارَدْ  | vˈa taq1ˈiːre aːq1ˈideːjˈe nˌɑɡahɑnˈie moʃtˈari q1arˈɑr dˈɑrad
 006 | دَرْ نَتیجِ  | dˈar nˈatidʒˌeː
 007 | وَقْتی شِرْکَتْ دَرْ اَوَّلِ ژانْویِ دَرْ آنْ طَرَفْ مَرْزِ  | vˈaq1ti ʃˈerkat dˈar ˈavvalˌe ʒɑnvˈijeː dˈar ɑn tˈaraf mˈarze
 008 | ساوِتِ شیلْدَزِ اِنْگِلِسْتانْ  | sˈɑvetˌe ʃildˈaze ˌenɡelˈestɑn
 009 | شَهْری سَخْتْ کوشْ کِ با قَطارِ دُ وَ نیمْ ساعَتْ تا عِدینْبِرُ فاصِلِ دارَدْ  | ʃˈahri sˈaxt kˈuːʃ kˈeː bɑ q1atˈɑre dˈo vˈa nˈim sˈɑʔat tɑː ʔˌedinbˈero fˈɑselˌeː dˈɑrad
 010 | قَرارْدادی عَظیمْ وَ طولانی مُدَّتْ می‌بَنْدَدْ  | q1arˈɑrdɑdˌi ˈaːzim vˈa tuːlˈɑni mˌoddˈat mibˈandad
 011 | رَبیعْ خِیْلی خُشْحالْ می‌شَوَدْ  | rˈabiʔ xˈejli xoʃhˈɑl miʃavˈad
 012 | کاری کِ قَرارْ اَسْتْ اَنْجامْ شَوَدْ  | kˈɑri kˈeː q1arˈɑr ˈast ˈaːndʒˈɑm ʃavˈad
 013 | آبادْ سازی دُبارِ زَمینْ اَطْرافِ بارْ اَنْدازْ  | ˈɑbˈɑd sˈɑzi dobˈɑreː zˈamin ˈaːtrˈɑfe bˈɑr ˈaːndˈɑz
 014 | وَ زَمینِ مَتْروکِ پُرْ اَزْ آلونَک‌هایِ صَنْعَتی  | vˈa zamˈine matrˈukeː pˈor az ˈɑluːnˌakhɑjˈe sanʔˈati
 015 | وَ تَبْدیلِ آنْها بِ پارْکْ کافِ  | vˈa tabdˈile ˌɑnhɑ beː pˈɑrk kˈɑfeː
 016 | وَ موزِ‌ای بَرایِ نِگَهْداریِ اَزْ یِکْ اَثَرِ تاریخیِ مَحَلّی اَسْتْ  | vˈa mˈuzeːiː bˌarɑjˈe nˌeɡahdɑrˈie az jˈek aːsˈare tˈɑrixˌie mahˈalli ˈast
 017 | بِ نامِ تایِنْ کِ اَزْ نَظَرِ قِدْمَتِ  | beː nˈɑme tˈɑjen kˈeː az nˈazarˌe q1edmˈate
 018 | دُوُّمینْ قایِقِ نِجاتْ دَرْ بِریتانیا اَسْتْ  | dovvˈomin q1ˈɑjeq1ˌe nˈedʒɑt dˈar bˌeritɑnˈiɑ ˈast
