 000 | هَمْ آغوشی وَ عِشْقْ  | hˈam ˈɑq1uːʃˌi vˈa ˈeːʃq1
 001 | صَفْحِ سی وَ هَفْتْ  | sˈafheː sˈi vˈa hˈaft
 002 | رَبیعْ بَرایِ دوُّمینْ قَرارْ دوْ نَفَرِ شانْ  | rˈabiʔ barˈɑje dovvˈomin q1arˈɑr dˈo nafˈareː ʃˈɑn
 003 | بَعْدْ اَزْ آنْ بوسِ دَرْ باغْ گیاهْ شِناسی  | bˈaʔd az ɑn bˈuːseː dˈar bˈɑq1 ɡˈiːɑːh ʃenˈɑsi
 004 | پیشْنَهادْ کَرْدِ  | pˈiʃnahˈɑd kˈardeː
 005 | دَرْ رِسْتورانی تایْلَنْدی دَرْ خیابانْ هاوْ غَذا بُخوْرَنْدْ  | dˈar rˌesturˈɑni tɑjlˈandi dˈar xiˈɑbɑn hˈɑv q1azˈɑ boxˈorand
 006 | اَوَّلْ او می‌رِسَدْ وَ بِ میزی دَرْ طَبَقِ هَمْ کَفْ راهْنَمایی میشَوَدْ  | ˈavval ˈuː mirˈesad vˈa beː mˈizi dˈar tabˈaq1eː hˈam kˈaf rˌɑhnamˈɑiː miʃavˈad
 007 | وَ کِنارْ آکْواریوْمی کِ بِ طَرْزْ تَرْسْناکی پُرْ اَزْ لابِسْتَرْ اَسْتْ مینِشینَدْ  | vˈa kenˈɑːr ˌɑkvɑrijˈomi kˈeː beː tˈarz tarsnˈɑki pˈor az lˈɑbestˌar ˈast mineʃˈinad
 008 | کُرْسِتَنْ چَنْدْ دَقیقِ دیرْ می‌رِسَدْ  | korsˈetan tʃˈand daq1ˈiq1eː dˈir mirˈesad
 009 | ظاهِرَشْ غِیْرْ رَسْمی اَسْتْ  | zˈɑherˌaʃ q1ˈejr rˈasmi ˈast
 010 | شَلْوارْ جینْ قَدیمی وَ کَفْشْ وَرْزِشی  | ʃˈalvɑr dʒˈin q1adˈimi vˈa kˈafʃ varzˈeʃi
 011 | بِدونْ آرایِشْ  | bedˈuːn ɑrˈɑjeʃ
 012 | وَ بَرْخَلافْ هَمیشِ کِ لِنْزْ میگُذاشْتْ عِیْنَکْ بِ چِشْمْ  | vˈa barxalˈɑf hamˈiʃeː kˈeː lˈenz miɡˈozɑʃt ˈejnak beː tʃˈeʃm
 013 | شُروعْ گُفْتُگو یِشانْ  | ʃˈoruːʔ ɡoftˈoɡu jˈeʃɑn
 014 | با کَمْرویی هَمْراهْ اَسْتْ  | bɑ kamrˈuːiː hamrˈɑh ˈast
 015 | اَزْ نَظَرْ رَبیعْ هیچْ راهی وُجودْ نَدارَدْ کِ دوْبارِ بِتَوانْ  | az nˈazar rˈabiʔ hˈitʃ rˈɑhi vˈodʒuːd nˈadɑrˌad kˈeː dobˈɑreː betˈavɑn
 016 | بِ آنْ صَمیمیَتی کِ دَرْ مُلاقاتْ قَبْلی بِیْنِشونْ بودْ بِرِسَنْدْ  | beː ɑn sˌamimiːjˈati kˈeː dˈar molˈɑq1ɑt q1ˈabli bˈejneʃˌun bˈuːd berˈesand
 017 | اِنْگارْ کِ دوْبارِ  | ˈenɡɑr kˈeː dobˈɑreː
 018 | بَرْگَشْتِ بودَنْدْ بِ زَمانی کِ فَقَطْ  | barɡˈaʃteː bˈuːdand beː zamˈɑni kˈeː fˈaq1at
 019 | دوْ آشْنایِ سادِ بودَنْدْ  | dˈo ˈɑʃnˈɑje sˈɑdeː bˈuːdand
 020 | آنْها راجِعْ بِ مادَرْ رَبیعْ وَ پِدَرْ کُرْسِتَنْ  | ˌɑnhɑ rˈɑdʒeʔ beː mˈɑdar rˈabiʔ vˈa pˈedar korsˈetan
 021 | وَ چَنْدْ کِتابْ وَ فیلْمی کِ هَرْدوْیِ شانْ میشِناسَنْدْ حَرْفْ می‌زَنَنْدْ  | vˈa tʃˈand kˈetɑb vˈa fˈilmi kˈeː hardˈoje ʃˈɑn miʃenˈɑsand hˈarf mizˈanand
 022 | اَمّا رَبیعْ جُراَتْ نِمی‌کُنَدْ دَسْتانْ کُرْسِتَنْ را لَمْسْ کُنَدْ  | ˈammˌɑ rˈabiʔ dʒorʔˈat nˌemikˈonad dˈastɑn korsˈetan rɑ lˈams kˈonad
 023 | وَ اَلْبَتِّ کُرْسِتَنْ هَمْ  | vˈa albˈatteː korsˈetan hˈam
 024 | اَغْلَبْ دَسْتانَشْ را بِیْنْ دوْ پایْ خوْدْ می‌گُذارَدْ  | ˈaːq1lab dastˈɑnaʃ rɑ bˈejn dˈo pˈɑj xod miɡozˈɑrad
 025 | طَبیعَتَاْ می‌تَوانْ تَصَوُّرْ کَرْدْ شایَدْ نَظَرَشْ عَوَضْ شُدِ باشَدْ  | tˌabiˈatan mitˈavɑn tasˈavvor kˈard ʃˈɑjad nˈazarˌaʃ ˈavaz ʃˈodeː bˈɑʃad
 026 | اَمّا بَعْدْ کِ بِ خیابانْ می‌رَوَنْدْ  | ˈammˌɑ bˈaʔd kˈeː beː xiˈɑbɑn mirˈavand
 027 | اینْ جَوْ سَنْگینْ اَزْ بِیْنْ می‌رَوَدْ  | iːn dʒˈav sˈanɡin az bˈejn mirˈavad
 028 | کُرْسِتَنْ می‌پُرْسَدْ  | korsˈetan mipˈorsad
