 000 | دَرْخاسْتِ اِزْدِواجِ صَفْحِ‌یِ چِهِلْ وَ پَنْجْ  | darxˈɑste ˌezdevˈɑdʒe sˈafheːjˈe tʃˈehel vˈa pˈandʒ
 001 | دَرْ تَعْطیلاتِ کِریسْمَسْ  | dˈar tˌaʔtilˈɑte kerˈismas
 002 | کِ اَوَّلینْ بارْ اَسْتْ با هَمْ میگُذَرانَنْدْ  | kˈeː avvˈalin bˈɑr ˈast bɑ hˈam miɡˌozarˈɑnand
 003 | دُبارِ بِ خانِ‌یِ مادَرْ کِرِسْتِنْ  | dobˈɑreː beː xˈɑneːjˈe mˈɑdar kerˈesten
 004 | دَرْ اینْوِرْنِنْسْ می‌رَوَنْدْ  | dˈar iːnvˈernens mirˈavand
 005 | خانُمِ مَکْ لیلانْدْ  | xɑnˈome mˈak lilˈɑnd
 006 | مِهْرِ مادَریِ خُدْ را بِ رَبیعْ نِشانْ می‌دَهَدْ  | mˈeːhre mˌɑdarˈie xod rɑ beː rˈabiʔ nˈeʃɑn midˈahad
 007 | جورابْهایِ جَدیدِ  | dʒuːrˈɑbhˈɑje dʒadˈide
 008 | کِتابی دَرْبارِ‌یِ پَرَنْدِ‌هایِ اِسْکاتْلَنْدی  | ketˈɑbi darbˈɑreːjˈe parˈandeːhɑjˈe ˌeskɑtlˈandi
 009 | یِکْ کیسِ‌یِ آبِ گَرْمْ  | jˈek kˈiseːjˈe ˈɑbe ɡˈarm
 010 | بَرایِ تَخْتِ یِکْ نَفَرِ‌اَشْ  | bˌarɑjˈe tˈaxte jˈek nafˈareːˈaʃ
 011 | با چاشْنیِ کُنْجْکاویِ دائِمی  | bɑ tʃɑʃnˈie kˌondʒkɑvˈie dɑˈemi
 012 | کِ بِ طَرْزِ ماهِرانِ‌ایِ مَخْفیانِ اَسْتْ  | kˈeː beː tˈarze mˌɑherˈɑneːˌiːe mˌaxfiˈɑneː ˈast
 013 | کُنَدْ وَ کارْهایِ او کِنارِ ظَرْفْشوییِ آشْپَزْخانِ  | kˈonad vˈa kˈɑrhˈɑje ˈuː kenˈɑːre zˌarfʃuˈiːe ˌɑʃpazxˈɑne
 014 | بَعْدْ اَزْ خُرْدَنِ غَذا  | bˈaʔd az xordˈane q1azˈɑ
 015 | یا دَرْ پیادِ رویِ اَطْرافِ خَرابِ‌هایِ کِلیسایِ جامِعِ  | jɑː dˈar piˈɑdeː rujˈe ˈaːtrˈɑfe xarˈɑbeːhɑjˈe kˌelisˈɑje dʒˈɑmeʔˈe
 016 | سُنَّتِ اَنْدْرو  | sonnˈate ˈaːndruː
 017 | دَرْ ظاهِرِ اِتِّفاقی اَسْتْ  | dˈar zˈɑherˌe ˌettefˈɑq1i ˈast
