 000 | صَفْحِ‌یِ سی وَ سِ  | sˈafheːjˈe sˈi vˈa sˈeː
 001 | اِدامِ‌یِ عاشِقِ  | edˈɑmeːjˈe ˈɑʃeq1ˌe
 002 | کِرِسْتِنْ دَرْ آغوشِ رَبیعْ دِرازْ کِشیدِ  | kerˈesten dˈar ˈɑq1uːʃˌe rˈabiʔ dˈerɑz keʃˈideː
 003 | وَ این‌ها را شَرْحْ می‌دَهَدْ  | vˈa iːnhɑ rɑ ʃˈarh midˈahad
 004 | چَشْمانَشْ قِرْمِزْ شُدِ  | tʃaʃmˈɑnaʃ q1ˈermez ʃˈodeː
 005 | اینْ هَمْ بَخْشِ دیگَری اَزْ روزْ کِ رَبیعْ دوسْتْ دارَدْ  | iːn hˈam bˈaxʃe dˈiɡarˌi az rˈuːz kˈeː rˈabiʔ dˈuːst dˈɑrad
 006 | ضَعْفِ اِنْسانی بِسیارْ تَوانا وَ با کِفایَتْ  | zˈaʔfe ensˈɑni besˈijɑr tavˈɑnɑ vˈa bɑ kefˈɑjat
 007 | کِرِسْتِنْ هَمْ بِ نوْبِ‌یِ خوْدْ چِنینْ حِسی راجِعْ بِ رَبیعْ دارَدْ  | kerˈesten hˈam beː nˈoːbeːjˈe xod tʃˈenin hˈesi rˈɑdʒeʔ beː rˈabiʔ dˈɑrad
 008 | دَرْ گُذَشْتِ‌یِ رَبیعْ هَمْ پیش‌آمَدْهایِ خوْشایَنْد‌تَری نَبودِ کِ رِوایَتْ کُنَدْ  | dˈar ɡozˈaʃteːjˈe rˈabiʔ hˈam pˈiʃˈɑmadhˈɑje xoʃˈɑjandtˌari nˈabuːdˌeː kˈeː revˈɑjat kˈonad
 009 | وَقْتی دَوازْدَهْ سالْ داشْتِ  | vˈaq1ti dˈavɑzdˌah sˈɑl dˈɑʃteː
 010 | بَعْدْ اَزْ آنْ دوْرانِ کودَکی کِ مُشَخَّصِ‌اَشِ خُشونَتِ فِرْقِ‌ای اَسْتْ وَ راه‌یِ بَنْدْها وَ شَب‌هایی کِ  | bˈaʔd az ɑn doːrˈɑne kuːdˈaki kˈeː mˌoʃaxxˈaseːˌaʃe xˌoʃunˈate fˈerq1eːiː ˈast vˈa rˈɑhjˈe bˈandhɑ vˈa ʃˈabhˈɑiː kˈeː
